"","Pvalor","PlotID"
"1","1.60228141124483e-10","5.11.A.1"
"16","4.14542843697277e-18","5.128.A.1"
"24","2.12862541332466e-13","5.145.A.1"
"27","1.900647474516e-11","5.169.A.1"
"30","2.93999088276623e-20","5.218.A.1"
"33","1.91773147945509e-31","5.243.A.1"
"34","2.34183694753141e-15","5.256.A.1"
"35","2.50707894023414e-08","5.261.A.1"
"36","1.93642177163622e-23","5.276.A.1"
"37","3.52848799937134e-25","5.279.A.1"
"38","3.06720435846043e-16","5.283.A.1"
"39","5.43460383355841e-28","5.289.A.1"
"40","1.61390422503205e-28","5.290.A.1"
"41","2.67529985734294e-15","5.293.A.1"
"42","1.07573829781555e-27","5.296.A.1"
"43","4.579839052147e-34","5.300.A.4"
"44","8.07154237677469e-18","5.308.A.1"
"47","1.37846055188605e-10","5.319.A.1"
"49","6.03590471274477e-17","5.341.A.1"
"52","2.51453091167963e-17","5.350.A.1"
"53","1.71415209627264e-16","5.351.A.1"
"54","1.88656354396409e-17","5.353.A.1"
"55","1.72174512793353e-22","5.354.A.1"
"56","1.71673634080819e-13","5.355.A.1"
"57","2.0340455007881e-07","5.356.A.1"
"58","6.68601693023916e-23","5.357.A.1"
"59","1.89284315749426e-11","5.358.A.1"
"60","5.35603672665081e-10","5.360.A.1"
"61","1.88170064352987e-29","5.361.A.1"
"62","2.83147235306311e-08","5.362.A.1"
"63","1.1430291543132e-27","5.364.A.1"
"65","2.4348662771425e-27","5.390.A.1"
"68","5.90714806164655e-27","5.409.A.1"
"73","7.0468078332325e-07","5.427.A.1"
"74","4.35932808201305e-09","5.434.A.1"
"76","7.59004281189737e-10","5.437.A.1"
"79","4.95387068383592e-43","5.459.A.1"
"80","1.02569849071015e-19","5.463.A.1"
"81","2.77660991519783e-12","5.468.A.1"
"82","2.09369748355791e-20","5.481.A.1"
"83","6.31927501226198e-14","5.485.A.1"
"84","1.71931081348544e-07","5.486.A.1"
"85","5.70027816818622e-28","5.487.A.1"
"88","2.41053767549373e-14","5.494.A.1"
"90","1.26064147074452e-10","5.505.A.1"
"91","1.52058084676744e-13","5.506.A.1"
"96","3.66030857146669e-14","5.528.A.1"
"101","1.41833866384491e-18","5.555.A.1"
"103","4.66247336524317e-18","5.562.A.1"
"105","1.34373684638815e-11","5.577.A.1"
"107","3.43791149980349e-16","5.583.A.1"
"109","2.16622261610852e-21","5.586.A.1"
"111","7.86049374435282e-06","5.589.A.1"
"112","1.57815833005252e-07","5.590.A.1"
"113","3.77637734685887e-31","5.599.A.4"
"116","1.17533841663456e-19","5.625.A.1"
"117","5.79725490414942e-15","5.628.A.1"
"118","4.66245592323094e-17","5.630.A.1"
"120","1.09881487354782e-12","5.638.A.1"
"122","1.35401240113332e-14","5.655.A.1"
"128","2.44880435339484e-23","5.673.A.4"
"130","1.61133945731076e-25","5.677.A.1"
"131","6.16432360140974e-21","5.682.A.1"
"132","5.21052227416806e-14","5.683.A.1"
"134","2.75793712661448e-36","5.690.A.1"
"135","1.62473733278805e-33","5.695.A.4"
"137","2.33090011072327e-15","5.699.A.1"
"139","4.71810594912049e-37","5.704.A.1"
"142","1.39526916135975e-14","5.708.A.1"
"145","1.05842064019116e-16","5.715.A.1"
"147","5.96566235276431e-11","5.718.A.1"
"148","2.7859966238873e-10","5.719.A.1"
"150","8.72192212853922e-11","5.721.A.4"
"151","2.70747753367037e-09","5.723.A.1"
"154","7.33623344188149e-19","5.726.A.1"
"158","7.36082092161901e-10","5.735.A.1"
"162","3.28059235091534e-20","5.765.A.1"
"163","6.94735197658265e-12","5.789.A.1"
"164","5.93754623418983e-19","5.790.A.1"
"165","3.92715572698921e-16","5.792.A.1"
"166","4.08689624065859e-18","5.793.A.1"
"168","8.7952909410166e-26","5.809.A.1"
"169","1.44266319405635e-26","5.810.A.1"
"170","6.85573046224691e-24","5.812.A.1"
"171","1.15358400855119e-07","5.818.A.1"
"173","2.32351103855381e-12","5.825.A.1"
"174","2.15452904921217e-10","5.826.A.1"
"175","3.50811950783659e-09","5.829.A.1"
"176","4.94509700713822e-16","5.841.A.1"
"177","6.24471626290502e-30","5.845.A.1"
"179","3.16688338163547e-19","5.852.A.4"
"180","5.14252460990187e-25","5.853.A.1"
"184","2.93118812926597e-13","5.864.A.4"
"185","9.59604856381194e-10","5.871.A.1"
"187","4.38921969711834e-11","5.874.A.1"
"188","3.40962446527149e-11","5.875.A.1"
"189","7.9613082781803e-08","5.878.A.1"
"190","9.36227065904026e-09","5.882.A.1"
"191","4.28850914377629e-10","5.886.A.1"
"192","7.24938115220979e-12","5.888.A.1"
"193","8.71998777151798e-07","5.901.A.1"
"197","1.1457297168439e-25","5.935.A.1"
"198","3.44468808297394e-13","5.938.A.1"
"200","6.06839317291174e-24","5.943.A.1"
"201","2.77699267553727e-28","5.945.A.1"
"202","3.93071236925332e-17","5.947.A.1"
"204","9.23108774903302e-10","5.950.A.1"
"207","3.06595286150558e-26","5.960.A.1"
"208","2.39744165854001e-15","5.963.A.1"
"209","1.2937326411681e-21","5.967.A.1"
"210","1.01132207835925e-22","5.968.A.1"
"211","5.08938309785677e-20","5.969.A.1"
"212","2.825399892754e-19","5.972.A.1"
"213","6.65520043817348e-30","5.978.A.1"
"214","1.14291470234874e-25","5.979.A.1"
"216","2.65065720481835e-22","5.985.A.1"
"218","2.39799827226353e-22","5.991.A.1"
"219","1.14614500658963e-23","5.995.A.1"
"220","2.44730361744288e-26","5.999.A.1"
"223","2.37051165579952e-24","5.1004.A.1"
"225","4.18297165654845e-20","5.1016.A.1"
"227","1.58377347169633e-16","5.1019.A.1"
"228","4.65715205636983e-20","5.1022.A.1"
"232","4.22035115632044e-37","5.1028.A.1"
"233","1.9358201448882e-22","5.1030.A.1"
"235","2.41388595860544e-11","5.1038.A.1"
"236","1.99066583423132e-18","5.1047.A.1"
"237","6.86709833486757e-16","5.1048.A.1"
"239","3.08243190777264e-11","5.1056.A.1"
"240","2.07678578213672e-19","5.1057.A.1"
"241","1.81511424752602e-11","5.1066.A.1"
"243","2.80926398494356e-18","5.1070.A.1"
"244","1.71809719958282e-07","5.1071.A.1"
"246","5.02381753648355e-09","5.1080.A.1"
"247","1.86651044770203e-16","5.1081.A.1"
"248","6.78287339511527e-17","5.1089.A.4"
"249","7.81256051158434e-28","5.1097.A.1"
"250","1.912658579438e-19","5.1106.A.1"
"252","2.36565463825361e-11","5.1112.A.1"
"255","1.15249835385665e-17","5.1133.A.4"
"257","1.66634747267774e-23","5.1136.A.1"
"259","1.14995657760971e-26","5.1147.A.1"
"260","1.92185314421147e-06","5.1152.A.1"
"261","2.45999895622617e-07","5.1154.A.1"
"263","1.08606013618459e-07","5.1158.A.1"
"266","1.30133201415292e-08","5.1162.A.1"
"267","2.7384368473636e-22","5.1163.A.1"
"268","4.34104120979616e-29","5.1165.A.1"
"270","7.32698684300319e-28","5.1176.A.1"
"272","4.82973436076905e-21","5.1183.A.4"
"273","1.39645810378681e-14","5.1185.A.1"
"276","9.54486301840348e-29","5.1194.A.4"
"278","1.20836380310394e-12","5.1200.A.4"
"279","4.45432310696166e-26","5.1203.A.4"
"280","3.96804207495853e-27","5.1204.A.1"
"281","1.54300223947875e-25","5.1205.A.1"
"283","5.43257790550633e-12","5.1208.A.1"
"286","1.20943075077377e-13","5.1214.A.1"
"288","1.70649311426097e-10","5.1230.A.1"
"289","1.06392354749649e-10","5.1237.A.1"
"291","1.2335637877283e-23","5.1246.A.1"
"292","1.32444912476187e-16","5.1247.A.1"
"294","5.66908127156684e-15","5.1249.A.1"
"295","1.00522134424251e-22","5.1250.A.1"
"296","9.13540593552077e-22","5.1252.A.1"
"297","7.3635115912504e-17","5.1259.A.1"
"300","1.41832570081577e-18","5.1263.A.1"
"301","6.93478195952739e-21","5.1270.A.4"
"302","1.64997635878494e-24","5.1273.A.1"
"303","1.62426067615165e-12","5.1291.A.1"
"304","2.53354724171058e-21","5.1299.A.4"
"305","1.75874028733392e-20","5.1300.A.4"
"306","6.1908664327951e-15","5.1302.A.1"
"307","5.32170724409714e-08","5.1305.A.1"
"308","8.97546667784749e-18","5.1311.A.1"
"309","9.37419101698632e-25","5.1315.A.1"
"310","4.73538613216704e-19","5.1316.A.1"
"311","3.35069733570241e-17","5.1318.A.1"
"313","8.71801883319273e-23","5.1324.A.1"
"314","8.28586690168471e-05","5.1325.A.1"
"315","4.77616652057168e-13","5.1327.A.1"
"316","3.67952573625981e-18","5.1331.A.1"
"317","2.51625281700416e-07","5.1333.A.1"
"319","1.22357257669111e-31","5.1348.A.4"
"322","1.09195074366976e-11","5.1380.A.1"
"325","6.87333585256946e-12","5.1419.A.1"
"327","2.81917421839859e-06","5.2004.1.1"
"328","4.21406091495322e-13","5.2004.A.1"
"330","7.03914947100071e-07","5.2006.1.1"
"331","4.55770028782027e-07","5.2006.A.1"
"336","3.68186408009112e-09","5.2072.A.1"
"337","0.00137060137174787","5.2077.A.1"
"341","8.54872284951373e-27","5.2117.A.1"
"344","1.31847069452986e-09","5.2162.A.1"
"347","2.87097450874348e-19","5.2171.A.1"
"349","2.4060238376312e-15","5.2189.A.1"
"351","2.91968646740952e-22","5.2199.A.1"
"352","4.86649187708855e-15","5.2201.1.1"
"355","5.70143215369221e-41","5.2219.A.1"
"356","5.21722909516376e-11","5.2224.A.1"
"359","3.14426953754922e-12","5.2233.A.1"
"361","2.16231789439417e-25","5.2255.A.1"
"365","5.57584559184497e-15","5.2289.A.1"
"367","1.32640962338259e-16","5.2299.A.1"
"371","9.4497416338862e-10","5.2317.A.4"
"373","3.1003000299502e-21","5.2335.A.1"
"374","9.68021742167188e-09","5.2337.A.1"
"375","1.65412485340578e-26","5.2338.A.1"
"376","4.64241772402167e-20","5.2343.A.1"
"377","1.08056278024457e-09","5.2346.A.1"
"378","1.21348102168451e-17","5.2351.A.1"
"379","2.67538677650537e-11","5.2382.A.1"
